Country_Code,year,GDP_PC_Constant_USD
GEO,1996,1242.1104253774506
GEO,1997,1417.514108236328
GEO,1998,1498.1390374344187
GEO,1999,1573.1596482938062
GEO,2000,1633.5390898443704
GEO,2001,1738.8028956513122
GEO,2002,1850.5116454122208
GEO,2003,2069.08139285388
GEO,2004,2202.5717919914787
GEO,2005,2429.1724723376183
GEO,2006,2673.148274163422
GEO,2007,3025.1418163110634
GEO,2008,3107.7337137031604
GEO,2009,3020.9987225100012
GEO,2010,3233.2959434742097
GEO,2011,3500.527488525832
GEO,2012,3751.0034712128945
GEO,2013,3898.5546845086783
GEO,2014,4069.4244951379223
GEO,2015,4185.813870842466
GEO,2016,4304.8961756518465
GEO,2017,4512.761094682541
GEO,2018,4734.377393347042
GEO,2019,4978.499497882612
GHA,1960,1056.72633659549
GHA,1961,1058.9640308803391
GHA,1962,1067.6087741525978
GHA,1963,1079.8121116061336
GHA,1964,1070.7607813503391
GHA,1965,1055.2667498406922
GHA,1966,984.6391377453841
GHA,1967,991.0360366100134
GHA,1968,972.1045677109352
GHA,1969,1006.5132511969194
GHA,1970,1077.1393226435268
GHA,1971,1103.296459027624
GHA,1972,1045.9645414420434
GHA,1973,1046.2192113504602
GHA,1974,1088.6083467266808
GHA,1975,930.667226809453
GHA,1976,879.0437119501136
GHA,1977,882.0585401221354
GHA,1978,939.2204231634178
GHA,1979,897.3768389196636
GHA,1980,881.1572009492199
GHA,1981,828.3981199805689
GHA,1982,749.349008125832
GHA,1983,693.9490536542088
GHA,1984,731.3451704247396
GHA,1985,745.8589972263934
GHA,1986,761.916074612347
GHA,1987,775.6373242413047
GHA,1988,796.0867715377516
GHA,1989,812.889962307765
GHA,1990,816.0776262824808
GHA,1991,834.6563380676514
GHA,1992,842.3339928908699
GHA,1993,858.324184601348
GHA,1994,862.2947876293175
GHA,1995,873.8857269126988
GHA,1996,890.6316258954716
GHA,1997,904.8695972116169
GHA,1998,924.2721636630489
GHA,1999,941.5914363261695
GHA,2000,952.8033051042685
GHA,2001,966.9375746147342
GHA,2002,986.0223011423134
GHA,2003,1012.1048917767356
GHA,2004,1042.554776571871
GHA,2005,1076.61812539208
GHA,2006,1116.6300328919856
GHA,2007,1135.4911299542741
GHA,2008,1207.8344555086926
GHA,2009,1234.540272720667
GHA,2010,1299.344949460393
GHA,2011,1446.3716307070238
GHA,2012,1543.7639842302572
GHA,2013,1618.5978498494746
GHA,2014,1627.7602814336933
GHA,2015,1625.9058258424525
GHA,2016,1644.5980091229667
GHA,2017,1739.4674920424877
GHA,2018,1808.3272201791867
GHA,2019,1884.2848598923335
GIN,1986,513.1941455470858
GIN,1987,514.4201649049184
GIN,1988,530.3102101060003
GIN,1989,534.9979729109576
GIN,1990,541.8938071823804
GIN,1991,540.513646350192
GIN,1992,543.1417874020378
GIN,1993,555.5556028500318
GIN,1994,562.6067774383653
GIN,1995,573.2686627086595
GIN,1996,583.2675757171099
GIN,1997,597.6131826953836
GIN,1998,603.7338748526269
GIN,1999,611.6558422410122
GIN,2000,612.8158142137582
GIN,2001,621.9255794665472
GIN,2002,641.1725370915985
GIN,2003,636.7911643429395
GIN,2004,639.0871775461181
GIN,2005,644.9585503855501
GIN,2006,638.5993375420009
GIN,2007,667.0952953759901
GIN,2008,678.9524209894698
GIN,2009,656.1590156442073
GIN,2010,672.4244025624427
GIN,2011,694.6031153982118
GIN,2012,719.7091852407884
GIN,2013,731.4933376981379
GIN,2014,741.0497173112757
GIN,2015,750.4030763629419
GIN,2016,809.9578165317623
GIN,2017,869.0189732280852
GIN,2018,897.1161995841693
GIN,2019,920.8782438704969
GMB,1966,697.2056659705529
GMB,1967,678.9824781862305
GMB,1968,723.6913033009243
GMB,1969,720.5755122701328
GMB,1970,743.2068662473401
GMB,1971,721.4260229617711
GMB,1972,702.1542838753039
GMB,1973,744.4206783491759
GMB,1974,764.3551519285461
GMB,1975,832.4713875039255
GMB,1976,865.1089210140716
