,Country_Code,year,Tax_Revenue_real_USD,Tax_Revenue_real_USD_lag
2490,GEO,2013,3426610016.859371,3406409770.583599
2491,GEO,2014,3590300596.6918664,3426610016.859371
2492,GEO,2015,3750875412.3106585,3590300596.6918664
2493,GEO,2016,3948480044.963561,3750875412.3106585
2494,GEO,2017,4142244824.268613,3948480044.963561
2495,GEO,2018,4294991420.614638,4142244824.268613
2496,GHA,1980,,
2497,GHA,1981,,
2498,GHA,1982,,
2499,GHA,1983,164275510.81619218,
2500,GHA,1984,262380087.28690255,164275510.81619218
2501,GHA,1985,369120566.439016,262380087.28690255
2502,GHA,1986,491328686.8908234,369120566.439016
2503,GHA,1987,545090653.4865705,491328686.8908234
2504,GHA,1988,560452756.1289072,545090653.4865705
2505,GHA,1989,585137307.1314782,560452756.1289072
2506,GHA,1990,544949968.7981898,585137307.1314782
2507,GHA,1991,661564374.873203,544949968.7981898
2508,GHA,1992,552685376.5430021,661564374.873203
2509,GHA,1993,811013982.2809929,552685376.5430021
2510,GHA,1994,1022624841.2519664,811013982.2809929
2511,GHA,1995,970619660.3503668,1022624841.2519664
2512,GHA,1996,1052387861.9744431,970619660.3503668
2513,GHA,1997,1037580043.6089422,1052387861.9744431
2514,GHA,1998,1167578363.995377,1037580043.6089422
2515,GHA,1999,1139684364.3335085,1167578363.995377
2516,GHA,2000,1297880933.587292,1139684364.3335085
2517,GHA,2001,1430331298.5718355,1297880933.587292
2518,GHA,2002,1515581302.5929873,1430331298.5718355
2519,GHA,2003,1848512436.0688784,1515581302.5929873
2520,GHA,2004,2168782623.596682,1848512436.0688784
2521,GHA,2005,2415512106.5676928,2168782623.596682
2522,GHA,2006,2334666305.881679,2415512106.5676928
2523,GHA,2007,2531587443.3753686,2334666305.881679
2524,GHA,2008,2653353408.2693267,2531587443.3753686
2525,GHA,2009,2696606629.0592,2653353408.2693267
2526,GHA,2010,3160144343.5826287,2696606629.0592
2527,GHA,2011,3937253494.38435,3160144343.5826287
2528,GHA,2012,4431728251.39844,3937253494.38435
2529,GHA,2013,4480434927.743666,4431728251.39844
2530,GHA,2014,4884880327.589536,4480434927.743666
2531,GHA,2015,5376655067.950526,4884880327.589536
2532,GHA,2016,5863604882.876332,5376655067.950526
2533,GHA,2017,6492550032.407269,5863604882.876332
2534,GHA,2018,7037650526.365131,6492550032.407269
2535,GIN,1980,,
2536,GIN,1981,,
2537,GIN,1982,,
2538,GIN,1983,,
2539,GIN,1984,,
2540,GIN,1985,,
2541,GIN,1986,231266060.00951773,
2542,GIN,1987,313178520.4729217,231266060.00951773
2543,GIN,1988,299970721.5588825,313178520.4729217
2544,GIN,1989,343967896.2116479,299970721.5588825
2545,GIN,1990,381261952.7735899,343967896.2116479
2546,GIN,1991,346808918.8657,381261952.7735899
2547,GIN,1992,296356568.59015,346808918.8657
2548,GIN,1993,287868901.04349995,296356568.59015
2549,GIN,1994,277316384.8052606,287868901.04349995
2550,GIN,1995,307789231.6639927,277316384.8052606
2551,GIN,1996,304078666.47099805,307789231.6639927
2552,GIN,1997,355818473.37154543,304078666.47099805
2553,GIN,1998,355747218.9738204,355818473.37154543
2554,GIN,1999,358520300.94812334,355747218.9738204
2555,GIN,2000,386951206.7124433,358520300.94812334
2556,GIN,2001,428142618.48242414,386951206.7124433
2557,GIN,2002,479828871.7097818,428142618.48242414
2558,GIN,2003,416166869.0989983,479828871.7097818
2559,GIN,2004,442951279.9046258,416166869.0989983
2560,GIN,2005,512773911.3305642,442951279.9046258
2561,GIN,2006,550329838.0258898,512773911.3305642
2562,GIN,2007,565145663.4749082,550329838.0258898
2563,GIN,2008,631381757.538957,565145663.4749082
2564,GIN,2009,669885402.7285615,631381757.538957
2565,GIN,2010,693550426.7495652,669885402.7285615
2566,GIN,2011,829778566.1115657,693550426.7495652
2567,GIN,2012,1129043978.2027009,829778566.1115657
2568,GIN,2013,1049137280.1158037,1129043978.2027009
2569,GIN,2014,1079972124.585953,1049137280.1158037
2570,GIN,2015,1117994262.1670177,1079972124.585953
2571,GIN,2016,1348085612.3989673,1117994262.1670177
2572,GIN,2017,1389494936.0638928,1348085612.3989673
2573,GIN,2018,1381171101.5794253,1389494936.0638928
2574,GMB,1980,43589536.97835552,
2575,GMB,1981,35287981.93927946,43589536.97835552
2576,GMB,1982,36184263.76601044,35287981.93927946
2577,GMB,1983,39966782.04774353,36184263.76601044
2578,GMB,1984,51093696.52931511,39966782.04774353
2579,GMB,1985,47304421.88363912,51093696.52931511
2580,GMB,1986,50143227.611497186,47304421.88363912
2581,GMB,1987,58342867.82071063,50143227.611497186
2582,GMB,1988,57277341.39602444,58342867.82071063
2583,GMB,1989,67411053.70481211,57277341.39602444
2584,GMB,1990,63936817.85213512,67411053.70481211
2585,GMB,1991,64249514.170979924,63936817.85213512
2586,GMB,1992,69875383.87956093,64249514.170979924
2587,GMB,1993,76702725.73367329,69875383.87956093
2588,GMB,1994,71536255.26445633,76702725.73367329
2589,GMB,1995,60937469.53558944,71536255.26445633
2590,GMB,1996,59803610.35873256,60937469.53558944
2591,GMB,1997,66043933.79085662,59803610.35873256
2592,GMB,1998,68333575.83105163,66043933.79085662
2593,GMB,1999,68157527.46912067,68333575.83105163
2594,GMB,2000,73927482.90838669,68157527.46912067
2595,GMB,2001,63026039.550866164,73927482.90838669
2596,GMB,2002,66135755.52194598,63026039.550866164
2597,GMB,2003,69055797.93019924,66135755.52194598
2598,GMB,2004,99634689.23589684,69055797.93019924
2599,GMB,2005,96868757.45661975,99634689.23589684
2600,GMB,2006,112972405.43440154,96868757.45661975
2601,GMB,2007,122668941.37746784,112972405.43440154
2602,GMB,2008,124004051.57224727,122668941.37746784
2603,GMB,2009,132715821.6878417,124004051.57224727
2604,GMB,2010,125945168.07157989,132715821.6878417
2605,GMB,2011,129041316.84238978,125945168.07157989
2606,GMB,2012,138762426.16232267,129041316.84238978
2607,GMB,2013,142098333.9189136,138762426.16232267
2608,GMB,2014,163081618.1804107,142098333.9189136
2609,GMB,2015,183016616.11460137,163081618.1804107
2610,GMB,2016,175824979.63350993,183016616.11460137
2611,GMB,2017,170246084.88565928,175824979.63350993
2612,GMB,2018,186809613.06261057,170246084.88565928
2613,GNB,1980,35878445.56204669,
2614,GNB,1981,39907453.59770695,35878445.56204669
2615,GNB,1982,37707501.29340646,39907453.59770695
2616,GNB,1983,32289080.151780356,37707501.29340646
2617,GNB,1984,30105545.7541621,32289080.151780356
2618,GNB,1985,32684815.977692816,30105545.7541621
2619,GNB,1986,19760542.34588502,32684815.977692816
2620,GNB,1987,37011547.17365483,19760542.34588502
2621,GNB,1988,38360651.3561441,37011547.17365483
2622,GNB,1989,20568206.709168777,38360651.3561441
2623,GNB,1990,41269707.705139115,20568206.709168777
2624,GNB,1991,22212161.31379819,41269707.705139115
2625,GNB,1992,11881225.596227909,22212161.31379819
2626,GNB,1993,21412700.57430365,11881225.596227909
2627,GNB,1994,52970667.8183032,21412700.57430365
2628,GNB,1995,28299546.252230976,52970667.8183032
2629,GNB,1996,34812671.19184098,28299546.252230976
2630,GNB,1997,45065393.28015999,34812671.19184098
2631,GNB,1998,13672231.077942537,45065393.28015999
2632,GNB,1999,33718867.83027965,13672231.077942537
2633,GNB,2000,46343603.3055617,33718867.83027965
2634,GNB,2001,36118063.520128205,46343603.3055617
2635,GNB,2002,26787081.57924653,36118063.520128205
2636,GNB,2003,28029240.198665705,26787081.57924653
2637,GNB,2004,28588741.26913092,28029240.198665705
