Country_Code,year,GDP_Constant_USD
GHA,2006,24989124920.741577
GHA,2007,26075356991.748936
GHA,2008,28461199738.577118
GHA,2009,29839998859.514885
GHA,2010,32197272797.202797
GHA,2011,36720063512.61692
GHA,2012,40132381684.07872
GHA,2013,43067072130.764565
GHA,2014,44297171157.4698
GHA,2015,45236607538.86469
GHA,2016,46762648989.18958
GHA,2017,50563935585.38421
GHA,2018,53698938865.61828
GHA,2019,57193544870.30889
GHA,2020,57430579781.1731
GIN,1986,2888984393.6460114
GIN,1987,2984319111.8916817
GIN,1988,3172573444.0846634
GIN,1989,3299586660.9074726
GIN,1990,3442262858.738428
GIN,1991,3532223748.168685
GIN,1992,3647760925.510705
GIN,1993,3831759259.1324854
GIN,1994,3983883899.2216496
GIN,1995,4167448250.0478973
GIN,1996,4353382082.862754
GIN,1997,4578957079.435448
GIN,1998,4745819827.050697
GIN,1999,4926730670.332243
GIN,2000,5050049722.715631
GIN,2001,5234798038.515417
GIN,2002,5505154913.517491
GIN,2003,5573892347.143445
GIN,2004,5704327966.94278
GIN,2005,5875302223.915842
GIN,2006,5945195628.013537
GIN,2007,6350507748.292608
GIN,2008,6612974822.39279
GIN,2009,6538734823.658962
GIN,2010,6853467857.619597
GIN,2011,7238091887.500259
GIN,2012,7666245932.310078
GIN,2013,7968731756.502792
GIN,2014,8263299260.262474
GIN,2015,8579446617.039469
GIN,2016,9507796056.9191
GIN,2017,10487099097.728287
GIN,2018,11153920447.272484
GIN,2019,11783690378.489405
GIN,2020,12607200647.357918
GMB,1966,289673615.68611336
GMB,1967,289673615.68611336
GMB,1968,317413176.7016953
GMB,1969,325143847.25062746
GMB,1970,345152700.75392723
GMB,1971,344925324.39439017
GMB,1972,345759025.3915804
GMB,1973,377742873.656079
GMB,1974,399949597.60176367
GMB,1975,449517067.35298216
GMB,1976,482562081.6862542
GMB,1977,499160171.5137466
GMB,1978,530689355.771208
GMB,1979,523640829.0862352
GMB,1980,556473525.9293121
GMB,1981,574958986.6551168
GMB,1982,570562950.06354
GMB,1983,632658615.4850348
GMB,1984,655024725.4017733
GMB,1985,649704191.0367303
GMB,1986,676284049.081488
GMB,1987,692882308.9403954
GMB,1988,723901450.6978219
GMB,1989,766580666.8555518
GMB,1990,793862348.0525327
GMB,1991,818527962.5773343
GMB,1992,846183475.1019207
GMB,1993,871671379.1851999
GMB,1994,873016768.7420986
GMB,1995,880715451.7587441
GMB,1996,900298561.7729197
GMB,1997,944413183.2871068
GMB,1998,977467632.4441735
GMB,1999,1040025551.6355672
GMB,2000,1097226959.225406
GMB,2001,1160866125.529306
GMB,2002,1123137974.711763
GMB,2003,1200297549.3260615
GMB,2004,1284918526.561307
GMB,2005,1254700720.2974682
GMB,2006,1247729841.7741203
GMB,2007,1285701374.0487912
GMB,2008,1366133637.4578888
GMB,2009,1457196339.407453
GMB,2010,1543292392.5460517
GMB,2011,1417815865.3698761
GMB,2012,1492131665.738371
GMB,2013,1534997158.5422893
GMB,2014,1513393877.232536
GMB,2015,1574808517.7158437
GMB,2016,1605412711.0892944
GMB,2017,1682835525.0915887
GMB,2018,1804586829.8097596
GMB,2019,1913886426.7423685
GMB,2020,1913886426.7423685
GNB,1970,347357390.6416584
GNB,1971,333772356.1299665
GNB,1972,355049879.5344535
GNB,1973,358990552.54866517
GNB,1974,375357797.18064106
GNB,1975,404806809.6591836
GNB,1976,424818253.36636025
GNB,1977,394358487.35013217
