year,Country_Code,GDP_Curr_USD,GDP_Curr_LCU,LCU_USD_ex_rate
2011,ECU,79276664000.0,79276664000.0,1.0
2012,ECU,87924544000.0,87924544000.0,1.0
2013,ECU,95129659000.0,95129659000.0,1.0
2014,ECU,101726331000.00002,101726331000.00002,1.0
2015,ECU,99290380999.99998,99290380999.99998,1.0
2016,ECU,99937695999.99998,99937695999.99998,1.0
2017,ECU,104295861999.99998,104295861999.99998,1.0
2018,ECU,107562008000.0,107562008000.0,1.0
2019,ECU,107435664999.99998,107435664999.99998,1.0
1960,EGY,,1464800000.0,
1961,EGY,,1565200000.0,
1962,EGY,,1632300000.0,
1963,EGY,,1820500000.0,
1964,EGY,,2047500000.0,
1965,EGY,4948667540.41066,2265500000.0,2.18435998252512
1966,EGY,5278005611.914526,2445300000.0,2.158428663932657
1967,EGY,5605484298.982751,2534800000.0,2.21141088014153
1968,EGY,5932242990.654205,2539000000.0,2.336448598130841
1969,EGY,6524455205.811138,2694600000.0,2.4213075060532687
1970,EGY,8042200452.147701,3201600000.0,2.5119316754584275
1971,EGY,8609283346.08518,3375699999.9999995,2.5503698036215248
1972,EGY,9299638055.842813,3597100000.0,2.585315408479835
1973,EGY,10098534613.441132,3997000000.0,2.526528549772612
1974,EGY,9228963224.600039,4441899999.999999,2.0777062123415746
1975,EGY,11632178868.917141,5306600000.0,2.1920210434020166
1976,EGY,13315988083.416088,6704600000.0,1.9860973187686197
1977,EGY,14400806875.986666,8209899999.999999,1.7540782318891421
1978,EGY,14811704063.068527,9769800000.0,1.516070345664039
1979,EGY,18020571428.57143,12614400000.0,1.4285714285714286
1980,EGY,21669908177.06639,15602333887.4878,1.388888888888889
1981,EGY,22136081081.08108,16380700000.0,1.3513513513513513
1982,EGY,27655172413.793102,22456000000.0,1.2315270935960592
1983,EGY,30966239813.736904,26600000000.0,1.1641443538998837
1984,EGY,33971188991.614704,31600000000.0,1.075037626316921
1985,EGY,39053502251.07319,37300000000.0,1.0470107842110774
1986,EGY,41253507951.35641,44100000000.0,0.9354536950420954
1987,EGY,40455616653.57424,51500000000.00001,0.7855459544383346
1988,EGY,34980124929.01761,61600000000.0,0.5678591709256106
1989,EGY,39756299049.97935,77000000000.0,0.5163155720776539
1990,EGY,42978914311.35038,95800000000.0,0.44863167339614174
